token,BBANDS_upperband,BBANDS_middleband,BBANDS_lowerband,DEMA,EMA,HT_TRENDLINE,macd,macdsignal,macdhist,mfi,willr,ADX,ADXR,APO,aroondown,aroonup,AROONOSC,ad,adosc,obv,atr,natr,trange,EMA-trend,MACD-position,MACD-indicator,Quotes_label
ETCUSDT,0.2290012632170051,0.2974275228185435,0.359658782399356,0.1503628341925581,0.5751867293469757,0.1858394912441831,0.0887742598737935,0.0935513637443109,0.4328434194629139,0.0844504336000561,0.1802725307679623,0.4781492994814842,0.3646544009939627,0.23296625865863,0.7142857142857143,0.0,0.1428571428571428,0.9528496908811516,0.1164192633922416,0.7300040390930723,0.12400853434154,0.0730694115360293,0.0114903152437748,Up trend,sell,low,Low position
ICXUSDT,0.3741587354882418,0.3831127787866326,0.3778340316091545,0.8154062665632273,0.4626287131840287,0.9067337676633532,0.5961011092978966,0.7102892035541357,0.3311672311862309,0.2114697265402497,0.2221404606385436,0.2184037622293569,0.38265480892972,0.5878416505726312,0.9285714285714286,0.0,0.0357142857142856,0.9359183456707364,0.3502680327218768,0.9062929868845114,0.3890025437776899,0.1853580801219215,0.0865411371857898,Up trend,sell,low,High position
NULSUSDT,0.1065510769059605,0.0974649778955028,0.081921915347938,0.4521064180673886,0.1462381969979392,0.3474272420377689,0.6015586737480532,0.5804776441589165,0.6260351339160398,0.7179871049770483,0.2661653486727904,0.24172931208334,0.2811024140394302,0.5978768841464742,0.3571428571428571,0.6428571428571429,0.6428571428571429,0.0137052385752769,0.285262015542,0.9620311236028452,0.2218428766095369,0.2919837676658339,0.1079842931937172,Up trend,sell,low,Middle
VETUSDT,0.1330477551141709,0.1397773472330521,0.1390649959122203,0.4320344116616172,0.2433828486622545,0.4636348114597647,0.2667677844984137,0.181588412011122,0.6956360053043931,0.1737461450385708,0.3968699318502862,0.6024211197008478,0.4438775546938363,0.3047175846169456,0.9285714285714286,0.0,0.0357142857142856,0.843472434785187,0.2129915884212005,0.8225584357016791,0.123698996080482,0.1160212076183481,0.0805877521219311,Up trend,sell,low,Middle
PAXUSDT,0.2199565460758526,0.584158415841773,0.8414090765251474,0.6127597111623386,0.6735780473098493,0.633054961803845,0.4956782815326571,0.6300708158411711,0.3820668820743439,0.4165157658898046,0.4105691056912094,1.0,1.0,0.5107868020292567,0.0,0.0,0.4583333333333332,0.0037237046101508,0.4551896311363176,0.2190781094977832,0.0445049264002342,0.0445049387296813,0.0,Up trend,sell,low,High position
USDCUSDT,0.6358008069612963,0.7419354838706615,0.7652162195646623,0.763217367428459,0.7722571560795712,0.7380928050533341,0.6939246130876223,0.7359992087095443,0.5258129004453623,0.7350429715385361,0.1488605477733706,0.3913589119128817,0.1954104085687806,0.5935483870958947,0.5714285714285715,0.3571428571428571,0.3928571428571428,0.0049354041314294,0.5559368061057238,0.4016347725673369,0.0321053418720512,0.0320538602197097,0.0020491803278663,Down trend,buy,low,High position
LINKUSDT,0.2337272583810302,0.2449796401350364,0.2539524630210933,0.6344040627568652,0.3305928099640852,0.5213052917908932,0.3513775308245175,0.3251657794896823,0.6804691643226939,0.399068244305052,0.3312521747117946,0.3713558279233915,0.0,0.4500589507568471,0.3571428571428571,0.0,0.3214285714285714,0.9012083953652258,0.3484129203030772,0.6357299674831112,0.2161814760954826,0.1554295789860378,0.0467905869425876,Up trend,sell,low,Middle
WAVESUSDT,0.3989157855664532,0.5115507042445929,0.5791177904183177,0.7044497074532785,0.850602472176372,0.7882407355904406,0.2651978436553894,0.3023092406233558,0.4129484895285487,0.4652990639425128,0.312257235569295,0.1537848822637092,0.3444287113937428,0.3022712797989024,0.3571428571428571,0.0,0.3214285714285714,0.869954065956067,0.2762972720298432,1.0,0.3273644816722718,0.1368594514082969,0.0398523985239853,Up trend,sell,low,Middle
BTTUSDT,0.1005732662865621,0.1322121708318794,0.2212872865824268,0.5070385463369739,0.2182698124003509,0.5462098445761105,0.447285849787792,0.4592105726562026,0.4918407159610876,0.1168272726470201,0.2189467543471044,0.5465331576714532,0.4975816554076721,0.4236238871214124,0.9285714285714286,0.0,0.0357142857142856,0.8483392208332412,0.4527291800085184,0.6078123875643088,0.0734628040045593,0.1080877589702561,0.0249759596642148,Up trend,sell,low,Middle
ONGUSDT,0.2953343400225665,0.7158963676604602,0.8870951610979516,0.8334280512095367,0.9422804489356864,0.8508055097593297,0.4833931195992281,0.5240813287797127,0.251788669824387,0.5576729459450696,0.6240693658863949,0.2507397842722826,0.4958103347067011,0.3603830196923002,0.4285714285714286,0.1428571428571428,0.3571428571428571,0.1361018326215062,0.8917947356477254,1.0,0.1651053892600269,0.0863261125527987,0.031535062713797,Up trend,sell,low,High position
HOTUSDT,0.1057310051906405,0.1430153382183164,0.188024860923968,0.5017853440572771,0.2643762888141377,0.5734303277459999,0.43814176245972,0.4918783297946774,0.2585734880003352,0.2439185987354989,0.1886660408533145,0.4844016664554093,0.4207188733137297,0.4055268471032031,0.7142857142857143,0.1428571428571428,0.2142857142857142,0.2208703612991747,0.6240501117329463,0.6521275533684051,0.0953398122668507,0.1172418143429439,0.0148078705429908,Up trend,sell,low,Low position
ZILUSDT,0.1194490617601953,0.1316418546306597,0.1383436998720108,0.4981322277202211,0.1655735912952054,0.3490644099353708,0.5501944941030814,0.5580035032879662,0.6066233946529914,0.3745049953819716,0.2606676520633116,0.367211127935049,0.2267775176974611,0.538800203079523,0.9285714285714286,0.0714285714285714,0.0714285714285713,0.803300690163819,0.3468294496691727,0.9063833841762864,0.1174540984490227,0.142692064525981,0.0374725756910926,Up trend,sell,low,Middle
ZRXUSDT,0.160554792705766,0.1652283782930065,0.1842380028169472,0.570591070296374,0.2332599226267747,0.5572206747706459,0.5718103110430895,0.5860228385703794,0.5207310823356894,0.1136837528467164,0.3101643741112804,0.3624591582185465,0.2888856633862016,0.5746432238829967,0.9285714285714286,0.0,0.0357142857142856,0.9603739871630296,0.4212681574944214,0.731754012627496,0.1665163808139832,0.1498050796177654,0.0703505355404089,Up trend,sell,low,Middle
FETUSDT,0.7548423195198715,0.7420724094881403,0.685979069234629,0.8721948968786136,0.9782492469027372,1.0,0.440957187613092,0.5428921427988066,0.259318289641455,0.0,0.398650753274306,0.3129860524835931,0.745630348369943,0.1927970019463151,0.3571428571428571,0.0,0.3214285714285714,0.0,0.292435808841311,0.6002264570840212,0.8404021555975282,0.2012230661424542,0.1594590720122328,Up trend,sell,low,High position
BATUSDT,0.1064947787246987,0.1116529207553237,0.1142348663709187,0.4317182372296516,0.1982198048879837,0.4459682986916701,0.5125122492801895,0.4992447848617009,0.6476795349234531,0.1139690819576865,0.2647709256238263,0.6714665781851997,0.3482273913941519,0.5422299828062248,0.9285714285714286,0.0,0.0357142857142856,0.8960528701774543,0.3775935706589419,0.576035201544622,0.1017734432813547,0.1127357115590112,0.0592191294601159,Up trend,sell,low,Middle
XMRUSDT,0.1581773437039681,0.1640448103577544,0.2154543364490559,0.4527935410295962,0.2380122371407594,0.4346438319249673,0.3685421586802304,0.2881248745654206,0.7827070049796088,0.1245054691399294,0.593600802722508,0.4767143879223942,0.250454197358368,0.5456099815378307,0.3571428571428571,0.2142857142857143,0.4285714285714285,0.8522309782914413,0.2954642466386908,0.7180803363986701,0.0985632610116179,0.0806455195924474,0.0682102918658066,Up trend,buy,low,Middle
ZECUSDT,0.0592392357237812,0.0664385514684915,0.0730678211200241,0.2860079886349418,0.1145105450840492,0.2036745535517003,0.3591885470240625,0.3493604456292133,0.7371528252641376,0.13839285925878,0.1519802798368855,0.699193209512385,0.3843492123306138,0.5548384868799053,0.8571428571428572,0.0,0.0714285714285713,0.925255589769439,0.4156410423925427,0.6703414839523009,0.0652422290558856,0.1017965120727117,0.0078517587939698,Up trend,sell,low,Low position
IOSTUSDT,0.5657532528786254,0.6337905768083832,0.6546499990060505,0.8356184900055702,0.9094037783313572,1.0,0.397871474014352,0.537097484556858,0.1238059881732715,0.3002537888259798,0.1876094100093977,0.2571114888582377,0.4581320645272014,0.2198694612892595,0.4285714285714286,0.0,0.2857142857142857,0.9243795474258448,0.2648111526309638,0.8997119239218335,0.6204332521668446,0.2310881116583345,0.1645365263016277,Up trend,sell,low,High position
CELRUSDT,0.8231099779369817,0.9206029008566192,0.8937383760961755,1.0,1.0,1.0,0.9127790204275024,1.0,0.3211934424979558,0.7641624167704852,0.503861914460305,0.986245648105999,1.0,0.9404442432160076,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.4448882539109395,0.1450600964018048,0.7343475205724178,0.9587446898622802,0.2118728474304609,0.1973554649036433,Down trend,buy,high,High position
DASHUSDT,0.1310619277622906,0.128732106339468,0.1406442029273114,0.423639550061735,0.2398757963180001,0.4321873740299881,0.3262423601983723,0.3292003358621234,0.656181131347452,0.1302613006754528,0.3099409744858624,0.2478805931949241,0.0,0.4905529164970932,0.8571428571428572,0.0,0.0714285714285713,0.7935560424158237,0.2881152145952171,0.5461491732675621,0.1444135214577771,0.1159903315301853,0.0765713588977625,Up trend,sell,low,Low position
NANOUSDT,0.0670490936404415,0.1060448967438695,0.3127388288742311,0.2632266868834736,0.1790936243345525,0.2549576934858833,0.1690759344914536,0.1690549724988479,0.6316615269107606,0.3455676731890258,0.1814357436388807,0.5372376253796014,0.5187569948156582,0.2784292298605001,0.8571428571428572,0.0,0.0714285714285713,0.024707699851895,0.3458999009554033,0.8218695126554025,0.0735844927022116,0.1292881309432545,0.0157569482641472,Up trend,sell,low,Low position
OMGUSDT,0.8484446187881857,0.796796505983552,0.6347080460421213,1.0,0.8624313026083142,1.0,0.9328354751051168,0.8958186519772832,0.6247112121159488,0.4597395170641197,1.0,0.5673905158552937,0.6010137640529802,0.6857893054477381,0.2857142857142857,1.0,0.8571428571428572,1.0,1.0,1.0,0.6650503623729619,0.1029076520541648,0.4586900258809478,Down trend,buy,low,High position
THETAUSDT,0.0397001428803243,0.0819302237912709,0.1409152362265847,0.2186055187925935,0.0397185688396054,0.0992579963264464,0.440114985309978,0.4308112788343236,0.4201069501445005,0.3402818823452324,0.1851610880122863,0.389605544349109,0.1962478630031647,0.3593451446703972,0.9285714285714286,0.0,0.0357142857142856,0.5823445012222445,0.2611339232314699,0.5253955114969578,0.0133497872561382,0.1756902530164687,0.0051921079958463,Up trend,sell,low,Middle
ENJUSDT,0.0968356577677083,0.1267271546592586,0.2279009666128041,0.3623819045999102,0.2177129854224993,0.4577719699605448,0.4203356748174306,0.389423165388905,0.5198611182491709,0.0914127713119757,0.2362648018361816,0.9139168646616898,0.930172506076641,0.3598713758528444,0.3571428571428571,0.0,0.3214285714285714,0.8853961543335798,0.20370358069232,0.7579142357408098,0.0851215474014444,0.1221486159113515,0.0596985518668109,Up trend,sell,low,Low position
MITHUSDT,0.0341555499651917,0.036939069956716,0.2294370768339374,0.4154696032994189,0.0886236951171935,0.3633491803629705,0.6400895871125737,0.6475223359341704,0.5021851997829959,0.0549615913730898,0.1187806306490512,0.1118790956556533,0.2198091291659661,0.6426582216312481,0.9285714285714286,0.2857142857142857,0.1785714285714285,0.0,0.3133638637236355,0.8577243724162178,0.0255788248107824,0.0952908192899265,0.0371927857209606,Up trend,sell,low,Low position
MATICUSDT,0.3529623295394551,0.4679535531955285,0.5473722989370379,0.290326911422945,0.7456447860331474,0.2952404755634822,0.1106785385981481,0.1172085292635101,0.3542175472198781,0.132309810731875,0.2643711350463696,0.2750796778703299,0.1015959240253929,0.0937210397752274,0.3571428571428571,0.0,0.3214285714285714,0.9548699546954807,0.1451895215527287,0.581438116130483,0.2059089054621832,0.1115392314257948,0.0226029848497214,Up trend,sell,low,Middle
ATOMUSDT,0.8031154742734051,0.8570086965471106,0.7846616104767568,0.981813084764291,1.0,1.0,0.6933598634526912,0.8966251525390169,0.227228002052591,0.2283334375113594,0.4588111211540722,0.5346973284559788,0.744200435656899,0.7880339054687338,0.3571428571428571,0.2857142857142857,0.4642857142857143,0.8700483045975627,0.2957640255727444,0.9914437176796554,0.8680211128663606,0.2550031345911639,0.1656189193234549,Up trend,sell,transforming,High position
TFUELUSDT,0.0,0.0037904417802578,0.1284806678529521,0.0,0.0,0.0,0.2472678944599542,0.2402848761632842,0.3718000027016052,0.2619577786855254,0.2143543338151485,0.4453761535026397,0.2305949768108202,0.194786041581773,0.3571428571428571,0.0,0.3214285714285714,0.9521569890083044,0.6126407909015593,0.3932238335675055,0.0253179842827131,0.1575597994005569,0.0115913230667328,Up trend,sell,low,Middle
ONEUSDT,0.6878167246687272,0.7360756374064611,0.7524798506135634,0.9286429452870024,1.0,0.9971175043605586,0.4454465236733831,0.5886084393014948,0.2856707251062217,0.3648104693411462,0.5249156024450943,0.1941441100614806,0.5298808394624612,0.2035899668028766,0.2857142857142857,0.7142857142857143,0.7142857142857143,0.1661735222399586,0.6290598250851628,0.7978603621929766,0.6595562899861594,0.2585280992776981,0.0824623645603606,Up trend,sell,low,High position
FTMUSDT,0.6996078876130712,0.7563343820356561,0.7876558824069341,0.9298341312048432,1.0,1.0,0.3471300334073683,0.4786641088062779,0.2103285256912649,0.4265710526481932,0.4802176344826554,0.4032805635150833,0.7360205551873288,0.174697531325151,0.3571428571428571,0.2142857142857143,0.4074074074074074,0.5137398563446598,0.3072999194344046,0.9302159139240532,0.8422218712598263,0.1664490359424351,0.1010511562718992,Up trend,sell,low,High position
ALGOUSDT,0.5508933409596342,0.6304085942261085,0.6712655329590196,0.8874703146206756,0.9821790829760462,1.0,0.3664145863295374,0.56408885418865,0.0237391830208481,0.1998637053022409,0.1699964129119381,0.5304598354462983,0.9796150655285798,0.2113052575799791,0.3571428571428571,0.0,0.2962962962962963,0.3814344479678968,0.0955039140463924,0.4402752706707517,0.8025847423170451,0.4090211542314245,0.0829052511415522,Up trend,sell,low,High position
GTOUSDT,0.023020132207397,0.0403035147366762,0.1667967387419481,0.3217167082781031,0.1134190916904394,0.3184861777568384,0.5454367180023201,0.532728198371208,0.2940976019171378,0.33839605762133,0.1773276918045986,0.226775492561102,0.2574233647666152,0.3761681337004132,0.7142857142857143,0.1428571428571428,0.2142857142857142,0.0017262940353004,0.6154571961312433,0.9017259409339976,0.0787920390490085,0.1383687990976167,0.0235674676524953,Up trend,sell,low,Low position
DOGEUSDT,0.2083152205660194,0.2521586663605722,0.4115202563936231,0.1444985739095757,0.2213903895520294,0.1520922892901779,0.1139741337703071,0.0931794658847147,0.608887043986938,0.3293760894690427,0.1479079241165304,0.353971064674888,0.195087008486098,0.3537739917015131,0.7142857142857143,0.0714285714285714,0.1785714285714285,0.8797867631231863,0.0815131131139128,0.8069575515188147,0.0536540373008811,0.0442578988078658,0.0187511812251141,Up trend,sell,low,Low position
DUSKUSDT,0.1326402388094911,0.1310735224745602,0.1295914746763773,0.6258610981278989,0.1741095042898448,0.6693636512521879,0.6850606028606869,0.710574857734659,0.3395007029733969,0.3211695557175101,0.2935552601847916,0.1447584945307338,0.1367397100997075,0.6460540439632227,0.4285714285714286,0.0,0.2857142857142857,0.0269265101585821,0.6874792277148111,0.9335791809809968,0.1487863570713582,0.1149037854401136,0.0455508474576269,Up trend,sell,low,Middle
ANKRUSDT,0.127679153518545,0.1521705464553959,0.2129366294191152,0.4454989468169926,0.2235167241347676,0.3769764125556607,0.336381450457454,0.3578849720770412,0.3677375401825574,0.1377935319091361,0.2549019187695632,0.5224291960489532,0.4025860890452429,0.2755430779762032,0.9285714285714286,0.0,0.0357142857142856,0.9575514371806998,0.211197839453281,0.931943647130707,0.1299885055158393,0.1780801052784207,0.0574508278697633,Up trend,sell,low,Middle
WINUSDT,0.0341076506547475,0.0559852866582089,0.3615911339909707,0.360302517927388,0.1171737345126368,0.3664451731169941,0.531822834655535,0.5352378292190798,0.4766585623073959,0.1496295017550744,0.1919764132514155,0.8631026258708087,0.816322689144457,0.484621316583866,0.7142857142857143,0.0,0.1428571428571428,0.0197000427488839,0.4937295878954383,0.5865064771165711,0.0322910952738105,0.0829148353585467,0.0038019601216626,Up trend,sell,low,Low position
COSUSDT,0.174991659370767,0.2032258064516121,0.24784901823975,0.525689831633353,0.3263559455335503,0.6193452075390921,0.4524910221132061,0.481431444312954,0.3056406272611383,0.3182954237169501,0.1312226407411176,0.3005626232046067,0.3613087786504293,0.4196651558597723,0.8571428571428572,0.0,0.0714285714285713,0.0028208621883368,0.2887356674202753,0.9826297970370508,0.2933732651421235,0.2129009637794897,0.0645756457564574,Up trend,sell,low,Low position
NPXSUSDT,0.0,0.0,1.0,,,,,,,,,,,,,,,0.0,,0.3702572729078868,,,0.0,Down trend,,low,Middle
COCOSUSDT,0.0731668857075217,0.0958162783375314,0.2186489774218076,0.4503777761245508,0.2085130369183134,0.6746685272547804,0.5224877185000542,0.5196315502103594,0.3083047169835797,0.30563236238756,0.2752295730683006,0.5210710750029656,0.3082933693330005,0.446322558025639,0.8571428571428572,0.0,0.074074074074074,0.0646934338538568,0.5579290000343692,0.8404703604867334,0.047146090677625,0.110252247967018,0.0315568022440393,Up trend,sell,low,Low position
MTLUSDT,0.2483987583322499,0.3257094973443908,0.4708281068297137,0.6863919814950777,0.4931369032368161,0.7296792430862247,0.3537334053856736,0.5051653473517874,0.1922637610435481,0.5156929484767901,0.2381245869552758,0.1535200462161841,0.2550805926346356,0.3665789665364709,0.5714285714285715,0.2142857142857143,0.3214285714285714,0.5156065410360188,0.3192942992179424,0.7666801045874981,0.2466214483034242,0.1688475802898643,0.0687401890994049,Up trend,sell,low,Low position
TOMOUSDT,0.2255031766767908,0.3036315645763168,0.3904584624239317,0.3425553357194597,0.4888901129171909,0.3766856961518875,0.2690127111869372,0.1722049562042066,0.6605702628916483,0.1962405136202881,0.4708014053512582,0.1757165148436318,0.0798358333724088,0.380225921025889,0.3571428571428571,0.0,0.3214285714285714,0.3908741443838874,0.4448772064397688,0.0531577087186167,0.2759035458369371,0.1948841183710651,0.0474576271186441,Up trend,buy,high,Low position
PERLUSDT,0.1262291976932249,0.1510573662396381,0.216658038384792,0.6951955370396965,0.2204817458683851,0.7148480547799,0.6504493616677257,0.676096312660892,0.3289103876508175,0.1412550131442054,0.2165078234082563,0.319074146613274,0.4833749270320424,0.6493139341118818,0.3571428571428571,0.2857142857142857,0.4642857142857143,0.0026424227412984,0.8075863295323563,0.8948990310650017,0.1698013985836821,0.1371930577540014,0.0504036657211433,Up trend,sell,low,Middle
DENTUSDT,0.1458471242633006,0.1549511805244809,0.177241632891677,0.5090836381554441,0.2409853260763559,0.5024752038626754,0.5028384285596363,0.5201144120353052,0.3266190655649894,0.4883096353355403,0.5925348661253819,0.3547869259268372,0.3575329628326278,0.4782591789275406,0.3571428571428571,0.0,0.3214285714285714,0.5262432196366994,0.3591213180517247,0.4989434200115525,0.1148347541880142,0.1220297092654764,0.0366753667536674,Up trend,buy,low,Middle
MFTUSDT,0.1645902080953026,0.1756026336314004,0.2216631354800617,0.630020800579303,0.2593442904070998,0.6379511487860102,0.4678345952537732,0.632833131519237,0.0858535651903325,0.0501654550401204,0.2951139581196281,0.2250716676059448,0.1305746293776299,0.5221124111873868,0.9285714285714286,0.0,0.0357142857142856,0.3687580928164135,0.6935412014390879,0.9382627104122506,0.0969389628335892,0.1473054920762425,0.1563462876453632,Up trend,sell,low,Middle
KEYUSDT,0.0731995322227918,0.0753230216878532,0.0974047579162801,0.4356232824315485,0.105112781987396,0.4605440814784375,0.6421200646432237,0.6717508913516571,0.2408941745806524,0.7015944319700089,0.0752306690063862,0.2452233987252044,0.287697800470218,0.6751056726059905,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.6291437044990286,0.9061132917063,0.1686260281443768,0.2343159808923361,0.0291131278641387,Up trend,sell,low,Middle
DOCKUSDT,0.1726431809084301,0.3479244963721888,0.5425943547597512,0.5700338867180088,0.4573834090876729,0.6155783631034598,0.4728176343470661,0.4628062546333441,0.4137820110707907,0.636993070907493,0.214571628755445,0.2385182487133515,0.475750042402572,0.3822878711471369,0.3571428571428571,0.2142857142857143,0.4285714285714285,0.0036877281758032,0.4380762543062779,1.0,0.3088423406247135,0.1561263333247103,0.0241192261921234,Up trend,sell,low,Middle
WANUSDT,0.1348247453418705,0.1442378045451073,0.1526479663964934,0.6183134885333227,0.2143973737928765,0.4604147019109154,0.5873983359022988,0.632917421017948,0.5390657904581715,0.3509470340462591,0.1893451534890805,0.3259197752795452,0.303932293048693,0.6058107364709961,0.3571428571428571,0.1428571428571428,0.3928571428571428,0.6707968570147422,0.3475531707680842,0.9009590733737928,0.1583557319355653,0.1290753142927918,0.0220108695652175,Up trend,sell,low,Middle
FUNUSDT,0.0820341933615583,0.1156990652822647,0.1581257835831028,0.3104066086153264,0.212698384714594,0.3897537147457827,0.3276030380227001,0.3104548995013759,0.4354771057003676,0.3067443049543983,0.1438429745725472,0.3012047866174757,0.355461716534963,0.4185431161565791,0.7142857142857143,0.0,0.1428571428571428,0.0,0.1506799428609913,0.3991816765300304,0.1460164087838304,0.2589722086394079,0.0411798952066758,Up trend,sell,low,Low position
